City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Liverpool,GB,2022-05-04 16:06:10,53.4106,-2.9779,56.61,85,75,17.27
118,Atuona,PF,2022-05-04 16:07:00,-9.8,-139.0333,78.71,72,88,16.73
119,Mayo,US,2022-05-04 16:07:00,38.8876,-76.5119,66.31,93,100,6.91
120,Chokurdakh,RU,2022-05-04 16:07:01,70.6333,147.9167,6.82,96,98,1.7
121,Barrow,US,2022-05-04 16:07:02,71.2906,-156.7887,15.82,86,100,13.8
122,Sola,VU,2022-05-04 16:07:02,-13.8833,167.55,81.79,75,100,6.8
123,Havelock,US,2022-05-04 16:04:18,34.8791,-76.9013,84.96,82,92,8.01
124,Guerrero Negro,MX,2022-05-04 16:02:55,27.9769,-114.0611,62.44,64,1,13.18
125,Avarua,CK,2022-05-04 16:07:03,-21.2078,-159.775,75.25,94,40,3.44
126,Castro,BR,2022-05-04 16:07:04,-24.7911,-50.0119,55.13,77,65,11.16
127,Itarema,BR,2022-05-04 16:07:04,-2.9248,-39.9167,84.27,72,95,11.63
128,Nakamura,JP,2022-05-04 16:07:05,32.9833,132.9333,56.28,83,100,1.99
129,Thompson,CA,2022-05-04 16:04:19,55.7435,-97.8558,27.81,82,100,10.38
130,Guiren,CN,2022-05-04 16:07:06,33.6697,118.1889,64.92,54,0,11.61
131,Saldanha,ZA,2022-05-04 16:07:06,-33.0117,17.9442,59.41,91,64,7.61
132,Ilulissat,GL,2022-05-04 16:07:07,69.2167,-51.1,17.62,67,75,11.5
133,Hilo,US,2022-05-04 16:05:44,19.7297,-155.09,72.28,96,100,5.75
134,Mahon,ES,2022-05-04 16:07:08,39.8885,4.2658,64.96,77,40,24.16
135,Cidreira,BR,2022-05-04 16:07:09,-30.1811,-50.2056,67.26,87,99,19.04
136,Cherskiy,RU,2022-05-04 16:07:09,68.75,161.3,30.7,99,100,3.83
137,Pringsewu,ID,2022-05-04 16:07:10,-5.3582,104.9744,72.79,92,100,1.99
138,Vao,NC,2022-05-04 16:06:20,-22.6667,167.4833,74.62,80,5,13.76
139,Kloulklubed,PW,2022-05-04 16:07:11,7.0419,134.2556,79.3,78,54,20.94
140,Ratnagiri,IN,2022-05-04 16:04:33,16.9833,73.3,83.75,75,6,10.25
141,Palu,ID,2022-05-04 16:07:11,-0.8917,119.8707,76.77,95,100,1.72
142,Kailua,US,2022-05-04 16:07:12,21.4022,-157.7394,73.38,82,100,10.36
143,Ponta Delgada,PT,2022-05-04 16:07:12,37.7333,-25.6667,65.12,68,75,9.22
144,Shirokiy,RU,2022-05-04 16:07:13,49.758,129.523,46.04,75,100,14.74
145,Tolentino,IT,2022-05-04 16:07:13,43.2126,13.2901,67.48,67,69,4.76
146,Horta,PT,2022-05-04 16:07:14,38.5333,-28.6333,65.84,82,40,8.05
147,Yeppoon,AU,2022-05-04 16:07:15,-23.1333,150.7333,67.78,90,8,6.22
148,Cozumel,MX,2022-05-04 16:02:43,20.5083,-86.9458,86.95,75,75,16.11
149,Port Augusta,AU,2022-05-04 16:07:15,-32.5,137.7667,52.99,67,19,11.74
150,Tignere,CM,2022-05-04 16:07:16,7.3667,12.65,81.59,54,77,4.12
151,Saint-Philippe,RE,2022-05-04 16:07:16,-21.3585,55.7679,74.79,87,53,15.32
152,Nantucket,US,2022-05-04 16:02:21,41.2835,-70.0995,53.74,91,100,11.79
153,Geraldton,AU,2022-05-04 16:07:17,-28.7667,114.6,64.81,48,63,19.57
154,Karasjok,NO,2022-05-04 16:07:18,69.4719,25.5112,28.24,93,100,5.91
155,Bras-Panon,RE,2022-05-04 16:07:18,-20.9967,55.6782,75.88,99,31,14.7
156,Roald,NO,2022-05-04 16:03:33,62.5833,6.1333,53.01,62,75,14.97
157,Gubkinskiy,RU,2022-05-04 16:07:19,64.434,76.5026,39.24,85,100,26.42
158,Mount Isa,AU,2022-05-04 16:07:20,-20.7333,139.5,71.37,30,0,16.11
159,Sol-Iletsk,RU,2022-05-04 16:07:20,51.1631,54.9918,50.99,64,51,6.76
160,Carutapera,BR,2022-05-04 16:07:21,-1.195,-46.02,83.75,76,39,6.38
161,San Policarpo,PH,2022-05-04 16:07:21,12.1791,125.5072,80.91,82,70,9.1
162,Bara,NG,2022-05-04 16:07:22,10.3744,10.7288,100.06,27,90,7.61
163,Airai,TL,2022-05-04 16:07:22,-8.9266,125.4092,59.5,92,73,2.91
