City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date,Country
93,Saint George,37.1041,-113.5841,66.79,16,0,4.61,clear sky,2022-05-15 15:32:06,US
94,Auki,-8.7676,160.7034,77.11,84,26,0.2,scattered clouds,2022-05-15 15:32:07,SB
95,Cherskiy,68.75,161.3,19.92,91,100,3.94,overcast clouds,2022-05-15 15:30:43,RU
96,Germantown,39.1732,-77.2717,76.75,80,100,1.01,overcast clouds,2022-05-15 15:30:46,US
97,Baykit,61.67,96.37,53.96,56,3,3.27,clear sky,2022-05-15 15:32:08,RU
98,Sao Joao Da Barra,-21.6403,-41.0511,80.69,70,27,14.38,scattered clouds,2022-05-15 15:32:09,BR
99,Vardo,70.3705,31.1107,40.98,87,75,8.05,broken clouds,2022-05-15 15:32:09,NO
100,Narsaq,60.9167,-46.05,44.82,62,42,7.38,scattered clouds,2022-05-15 15:32:10,GL
101,Bullhead City,35.1478,-114.5683,91.94,7,0,0.0,clear sky,2022-05-15 15:30:31,US
102,Surin,14.8818,103.4936,89.42,88,86,6.46,overcast clouds,2022-05-15 15:32:11,TH
103,Manta,-0.95,-80.7333,80.38,78,75,0.0,broken clouds,2022-05-15 15:32:11,EC
104,San Cristobal,7.7669,-72.225,82.58,51,99,8.3,overcast clouds,2022-05-15 15:31:44,VE
105,Ati,13.2154,18.3353,99.7,23,99,6.93,overcast clouds,2022-05-15 15:32:12,TD
106,Olafsvik,64.8945,-23.7142,46.45,95,100,13.67,overcast clouds,2022-05-15 15:32:12,IS
107,Rawson,-43.3002,-65.1023,53.64,63,17,21.27,few clouds,2022-05-15 15:32:13,AR
108,Honiara,-9.4333,159.95,76.95,87,30,3.18,scattered clouds,2022-05-15 15:32:13,SB
109,Kango,0.1943,10.0951,86.05,76,82,1.5,light rain,2022-05-15 15:32:14,GA
110,Hami,42.8,93.45,72.0,6,52,8.32,broken clouds,2022-05-15 15:32:15,CN
111,Provideniya,64.3833,-173.3,34.77,79,39,7.65,scattered clouds,2022-05-15 15:32:15,RU
112,Port Alfred,-33.5906,26.891,67.17,83,35,1.99,scattered clouds,2022-05-15 15:32:16,ZA
113,Tiksi,71.6872,128.8694,1.62,100,76,2.86,broken clouds,2022-05-15 15:32:16,RU
114,Kalmunai,7.4167,81.8167,82.38,72,97,5.57,overcast clouds,2022-05-15 15:32:17,LK
115,Nalut,30.3333,10.85,87.84,11,3,4.45,clear sky,2022-05-15 15:32:17,LY
116,Harper,4.375,-7.7169,82.69,80,95,7.43,light rain,2022-05-15 15:32:18,LR
117,Busdi,8.2761,125.2514,68.49,98,100,1.23,overcast clouds,2022-05-15 15:32:19,PH
118,Nanortalik,60.1432,-45.2371,31.37,71,53,10.0,broken clouds,2022-05-15 15:32:19,GL
119,Voh,-20.9667,164.7,69.51,86,22,5.37,few clouds,2022-05-15 15:32:20,NC
120,Jalu,29.0331,21.5482,85.44,18,0,11.3,clear sky,2022-05-15 15:32:20,LY
121,Doha,25.2867,51.5333,93.51,35,0,4.61,clear sky,2022-05-15 15:31:43,QA
122,Malakal,9.5334,31.6605,81.36,59,90,8.66,light rain,2022-05-15 15:32:21,SS
123,Neyshabur,36.2133,58.7958,70.57,23,0,6.53,clear sky,2022-05-15 15:32:22,IR
124,Wakkanai,45.4094,141.6739,48.02,76,3,31.12,clear sky,2022-05-15 15:32:22,JP
125,Molochnoye,59.2917,39.6787,46.27,93,100,2.57,light rain,2022-05-15 15:32:23,RU
126,Jamestown,42.097,-79.2353,73.04,68,75,9.22,broken clouds,2022-05-15 15:29:05,US
127,Katsuura,35.1333,140.3,63.86,82,100,2.55,light rain,2022-05-15 15:32:23,JP
128,Coahuayana,18.7333,-103.6833,89.46,36,75,4.76,broken clouds,2022-05-15 15:32:24,MX
129,Smithers,54.7804,-127.1743,41.32,81,75,4.61,light rain,2022-05-15 15:30:13,CA
130,Victoria,22.2855,114.1577,71.94,94,100,15.99,overcast clouds,2022-05-15 15:28:49,HK
131,Abu Samrah,35.3029,37.1841,72.91,46,33,21.88,scattered clouds,2022-05-15 15:32:25,SY
132,Guerrero Negro,27.9769,-114.0611,69.21,57,33,10.49,scattered clouds,2022-05-15 15:32:25,MX
133,Payson,40.0444,-111.7321,70.39,48,1,1.99,clear sky,2022-05-15 15:32:26,US
134,Nefteyugansk,61.0998,72.6035,58.89,55,76,8.46,broken clouds,2022-05-15 15:29:10,RU
135,Gazanjyk,39.2446,55.5154,83.14,17,0,10.74,clear sky,2022-05-15 15:32:26,TM
136,Bambous Virieux,-20.3428,57.7575,73.65,88,20,6.91,light rain,2022-05-15 15:32:27,MU
137,Abha,18.2164,42.5053,80.42,5,0,16.11,clear sky,2022-05-15 15:32:27,SA
138,Matara,5.9485,80.5353,78.78,90,94,9.28,light rain,2022-05-15 15:30:07,LK
139,Taltal,-25.4,-70.4833,63.64,71,15,2.1,few clouds,2022-05-15 15:32:28,CL
140,Sibu,2.3,111.8167,77.31,94,40,0.0,moderate rain,2022-05-15 15:32:29,MY
141,Ust-Ishim,57.6935,71.1665,58.06,55,86,8.25,overcast clouds,2022-05-15 15:32:29,RU
142,Husavik,66.0449,-17.3389,51.06,73,93,8.9,overcast clouds,2022-05-15 15:29:35,IS
143,San Quintin,30.4833,-115.95,70.41,55,6,5.7,clear sky,2022-05-15 15:32:30,MX
144,Ostrovnoy,68.0531,39.5131,37.81,80,46,8.57,scattered clouds,2022-05-15 15:32:31,RU
145,Svetlyy,54.675,20.1347,53.65,74,6,10.69,clear sky,2022-05-15 15:32:31,RU
146,Mizdah,31.4451,12.9801,87.39,12,5,2.95,clear sky,2022-05-15 15:32:31,LY
147,Iqaluit,63.7506,-68.5145,24.53,68,40,12.66,scattered clouds,2022-05-15 15:30:16,CA
148,Atar,20.5169,-13.0499,108.97,7,24,14.03,few clouds,2022-05-15 15:32:32,MR
149,Vila Velha,-20.3297,-40.2925,78.75,65,75,9.22,broken clouds,2022-05-15 15:32:03,BR
150,Bredasdorp,-34.5322,20.0403,62.56,72,0,10.31,clear sky,2022-05-15 15:28:49,ZA
151,Ternate,0.8,127.4,80.13,81,98,6.73,overcast clouds,2022-05-15 15:32:33,ID
152,Valley Station,38.1112,-85.8702,79.3,65,20,3.44,few clouds,2022-05-15 15:32:34,US
153,Christchurch,-43.5333,172.6333,52.0,93,75,5.75,broken clouds,2022-05-15 15:32:04,NZ
154,Avera,33.194,-82.5271,82.45,50,100,5.12,overcast clouds,2022-05-15 15:32:34,US
155,Goure,13.9835,10.2704,102.02,7,99,16.89,overcast clouds,2022-05-15 15:32:35,NE
156,Leningradskiy,69.3833,178.4167,21.27,90,99,8.86,overcast clouds,2022-05-15 15:29:21,RU
157,Cayenne,4.9333,-52.3333,85.08,1,75,11.5,broken clouds,2022-05-15 15:32:40,GF
158,Lockhart,28.6194,-81.4426,88.27,64,75,4.61,broken clouds,2022-05-15 15:32:40,US
159,Pangnirtung,66.1451,-65.7125,24.48,85,10,5.19,clear sky,2022-05-15 15:32:41,CA
160,Rocha,-34.4833,-54.3333,60.1,47,99,12.48,overcast clouds,2022-05-15 15:32:41,UY
161,Puerto Narino,-3.7703,-70.3831,73.81,100,100,2.13,moderate rain,2022-05-15 15:32:42,CO
162,Caravelas,-17.7125,-39.2481,79.88,55,72,7.56,broken clouds,2022-05-15 15:32:42,BR
163,Alofi,-19.0595,-169.9187,62.49,94,100,0.0,overcast clouds,2022-05-15 15:32:43,NU
164,Avarua,-21.2078,-159.775,69.85,83,40,4.61,scattered clouds,2022-05-15 15:32:43,CK
165,Saldanha,-33.0117,17.9442,73.45,73,0,10.98,clear sky,2022-05-15 15:32:44,ZA
166,Luderitz,-26.6481,15.1594,70.39,39,25,6.6,scattered clouds,2022-05-15 15:32:44,NA
167,Novoagansk,61.9449,76.6625,54.86,70,85,4.59,overcast clouds,2022-05-15 15:32:45,RU
168,Qingdao,36.0986,120.3719,56.8,82,47,6.71,scattered clouds,2022-05-15 15:30:24,CN
169,Mackay,-21.15,149.2,68.68,86,0,5.64,clear sky,2022-05-15 15:31:24,AU
170,Buraydah,26.326,43.975,97.25,9,0,8.14,clear sky,2022-05-15 15:32:46,SA
171,Airai,-8.9266,125.4092,60.78,96,85,1.92,overcast clouds,2022-05-15 15:32:46,TL
172,Shahr-E Babak,30.1165,55.1186,68.72,12,0,11.59,clear sky,2022-05-15 15:32:47,IR
173,Terrace,54.5163,-128.6035,44.51,93,100,0.0,light rain,2022-05-15 15:32:47,CA
174,Hamilton,39.1834,-84.5333,78.62,71,40,1.99,scattered clouds,2022-05-15 15:29:09,US
175,Gasa,31.5,34.4667,75.88,60,0,11.54,clear sky,2022-05-15 15:29:38,PS
176,Dandong,40.1292,124.3947,48.04,91,7,5.48,clear sky,2022-05-15 15:32:48,CN
