City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
843,Half Moon Bay,US,82.58,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
845,Jiujiang,CN,64.02,overcast clouds,29.7333,115.9833,Tianhai Fashion Theme Hotel
846,Florianopolis,BR,67.69,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
848,Yenagoa,NG,76.32,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
850,Georgetown,MY,84.13,light rain,5.4112,100.3354,Cititel Penang
851,North Bend,US,60.85,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
856,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
858,Nantucket,US,60.91,fog,41.2835,-70.0995,Jared Coffin House
859,Currais Novos,BR,72.79,few clouds,-6.2608,-36.5178,Sâmily Flat Hotel
860,Padang,ID,78.85,clear sky,-0.9492,100.3543,Mercure Padang
861,Bela Vista,BR,66.79,overcast clouds,-22.1089,-56.5211,Bella Vista Palace Hotel
863,Port Blair,IN,78.84,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
865,Codrington,AU,63.99,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
867,Samarai,PG,84.49,clear sky,-10.6167,150.6667,Nuli Sapi
869,Muros,ES,63.84,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
870,Jacqueville,CI,80.42,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
872,Fortuna,US,64.92,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
873,Chimbote,PE,63.0,scattered clouds,-9.0853,-78.5783,Hotel Briliá
876,Luderitz,,61.14,broken clouds,-26.6481,15.1594,LÜDERITZ NEST HOTEL
877,Brisbane,AU,78.17,light rain,-27.4679,153.0281,Royal On The Park Brisbane
881,Riberalta,BO,76.77,broken clouds,-10.9833,-66.1,Hotel Colonial
882,Saint Anthony,US,68.04,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
884,Hilton Head Island,US,73.98,clear sky,32.2163,-80.7526,Disney’s Hilton Head Island Resort
885,Barreirinhas,BR,79.5,overcast clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
889,Cotonou,BJ,82.38,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
890,Tanout,NE,80.53,overcast clouds,14.9709,8.8879,
893,Bethel,US,68.09,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
