City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
96,Germantown,US,76.75,overcast clouds,39.1732,-77.2717,Fairfield Inn & Suites by Marriott Germantown Gaithersburg
98,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
103,Manta,EC,80.38,broken clouds,-0.95,-80.7333,Balandra Hotel
104,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Pirineos
108,Honiara,SB,76.95,scattered clouds,-9.4333,159.95,Heritage Park Hotel
110,Hami,CN,72.0,broken clouds,42.8,93.45,Laoyutang Resort
112,Port Alfred,ZA,67.17,scattered clouds,-33.5906,26.891,The Halyards Hotel
114,Kalmunai,LK,82.38,overcast clouds,7.4167,81.8167,VS Villa
116,Harper,LR,82.69,light rain,4.375,-7.7169,Screensaver
117,Busdi,PH,68.49,overcast clouds,8.2761,125.2514,
119,Voh,NC,69.51,few clouds,-20.9667,164.7,Le gîte du Koniambo
122,Malakal,SS,81.36,light rain,9.5334,31.6605,Nile Palace Hotel
123,Neyshabur,IR,70.57,clear sky,36.2133,58.7958,Amiran Hotel & Commercial Complex
126,Jamestown,US,73.04,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
127,Katsuura,JP,63.86,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
130,Victoria,HK,71.94,overcast clouds,22.2855,114.1577,Mini Central
131,Abu Samrah,SY,72.91,scattered clouds,35.3029,37.1841,
132,Guerrero Negro,MX,69.21,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
133,Payson,US,70.39,clear sky,40.0444,-111.7321,Quality Inn Payson I-15
135,Gazanjyk,TM,83.14,clear sky,39.2446,55.5154,Railway motel
136,Bambous Virieux,MU,73.65,light rain,-20.3428,57.7575,Casa Tia Villa
137,Abha,SA,80.42,clear sky,18.2164,42.5053,Abha Hotel
138,Matara,LK,78.78,light rain,5.9485,80.5353,Amaloh Boutique Resort
139,Taltal,CL,63.64,few clouds,-25.4,-70.4833,Residencial Karime
140,Sibu,MY,77.31,moderate rain,2.3,111.8167,RH HOTEL (4 Star)
143,San Quintin,MX,70.41,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
149,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
150,Bredasdorp,ZA,62.56,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
151,Ternate,ID,80.13,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
152,Valley Station,US,79.3,few clouds,38.1112,-85.8702,Manor Isle Mobile Home & Extended-Stay RV Park
154,Avera,US,82.45,overcast clouds,33.194,-82.5271,
160,Rocha,UY,60.1,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
161,Puerto Narino,CO,73.81,moderate rain,-3.7703,-70.3831,Eware Refugio Amazonico
162,Caravelas,BR,79.88,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
163,Alofi,NU,62.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
164,Avarua,CK,69.85,scattered clouds,-21.2078,-159.775,Paradise Inn
165,Saldanha,ZA,73.45,clear sky,-33.0117,17.9442,Blue Bay Lodge
166,Luderitz,,70.39,scattered clouds,-26.6481,15.1594,LÜDERITZ NEST HOTEL
169,Mackay,AU,68.68,clear sky,-21.15,149.2,International Lodge Motel
171,Airai,TL,60.78,overcast clouds,-8.9266,125.4092,
172,Shahr-E Babak,IR,68.72,clear sky,30.1165,55.1186,Duna Ecolodge
174,Hamilton,US,78.62,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
175,Gasa,PS,75.88,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
177,Asimion,GR,70.84,clear sky,35.05,25.1,Uhu Haus
178,Senanga,ZM,72.46,few clouds,-16.1167,23.2667,Zango lodge
180,Kishtwar,IN,65.98,broken clouds,33.3167,75.7667,Heritage Bagh by Himalayan Musk
182,Makakilo City,US,73.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
187,Ixtapa,MX,74.43,clear sky,20.7,-105.2,hotel la terminal
189,Kropotkin,RU,62.2,scattered clouds,45.4375,40.5756,Hotel Europe Kropotkin
190,Xam Nua,LA,66.83,overcast clouds,20.4197,104.0439,Xee Wang Guesthouse
192,Erzin,TR,63.84,broken clouds,36.9559,36.2,Artemis Otel
193,Kathmandu,NP,73.62,thunderstorm,27.7167,85.3167,Hotel Shanker Kathmandu
198,Lubango,AO,80.46,broken clouds,-14.9172,13.4925,Hotel Serra da Chela
202,Narasannapeta,IN,84.51,clear sky,18.4167,84.05,AVK events and catering
205,Aljezur,PT,69.21,broken clouds,37.3191,-8.8033,Amazigh Hostel
206,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
208,Teguldet,RU,61.7,light rain,57.3064,88.1667,
210,Port Elizabeth,ZA,67.1,clear sky,-33.918,25.5701,39 On Nile Guest House
211,Boca Do Acre,BR,84.04,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
212,Flinders,AU,61.05,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
214,Shakawe,BW,74.14,clear sky,-18.3667,21.85,Ditlhapi Guest House
215,Fengrun,CN,61.52,broken clouds,39.8333,118.1167,Super 8 Tangshan North Railway Station Tangfeng Road
216,Constitucion,CL,63.36,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
217,Muros,ES,67.15,light rain,42.7762,-9.0603,Apartment Av. Castelao
218,Hervey Bay,AU,71.02,broken clouds,-25.2986,152.8535,Shelly Bay Resort
221,Dilla,ET,67.03,overcast clouds,6.41,38.31,Afomiya Pension
222,Barcelos,PT,69.85,overcast clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
